Company,GST No,State,State Code,City,Address,Zip Code,PAN,CIN,Customer,Customer Address,GST No,Phone,Email,Type,Invoice No.,MRN/PO No.,Invoice Date,Raw Material,Category,Sub Category,HSN Code,Sap Code,Unit,Quantity,Price (?),Pre Tax Amount (?),CGST Tax Percentage,CGST Tax (?),SGST Tax Percentage,SGST Tax/Excise Duty (?),IGST Tax/VAT Percentage,IGST Tax/VAT Amount (?),CESS Tax Percentage,CESS Tax,Total TCS (?),Discount (?),Delivery Charge (?),Total Amount (?),Invoice Total (?),Raw Material ID,Raw Material Code,Description
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Zomato Hyperpure Pvt.Ltd.Mumbai,,,,,Purchase,524834/JAN,5212,20-Jan-24,Cheese Mozzarella,Dairy Products,Cheese,0,,Kg,6,445.26,2671.56,6,160.29,6,160.29,0,0,0,0,,,,2992.14,,16704835,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GUPTA MILK CENTER,,,,,Purchase,17109/JAN,5211,20-Jan-24,Green Peas,Food Ingredients,Frozan,0,,PKT,4,95,380,0,0,0,0,0,0,0,0,0,0,0,380,1780,16704662,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GUPTA MILK CENTER,,,,,Purchase,17109/JAN,5211,20-Jan-24,Milk 3 Fat,Dairy Products,Dairy,0,,PKT,25,56,1400,0,0,0,0,0,0,0,0,,,,1400,,16704795,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,NAVED FAHIM SHAIKH,,,,,Purchase,320/JAN,5210,20-Jan-24,Chicken Breast Bonless,Meat Material,Meat,0,,Kg,10,250,2500,0,0,0,0,0,0,0,0,0,0,0,2500,2500,16704537,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Meat 4 You Traders,,,,,Purchase,4382/Jan,5209,20-Jan-24,Mutton Big Raan,Meat Material,Meat,0,,Kg,6.7,600,4020,0,0,0,0,0,0,0,0,0,0,0,4020,4020,16704526,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sandip Cream Centre,,,,,Purchase,51425/JAN,5208,20-Jan-24,Malai Paneer,Dairy Products,Dairy,0,,Kg,10,310,3100,0,0,0,0,0,0,0,0,0,0,0,3100,3100,16704797,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,ROYALin DAIRY,"JOGESHWARI WEST ,OPP ,FISH MARKET,MUMBAI 400102",27AEDPD1415M1ZR,,,Purchase,24284/JAN,5207,20-Jan-24,Malai Paneer,Dairy Products,Dairy,0,,Kg,6,320,1920,0,0,0,0,0,0,0,0,0,0,0,1920,1920,16704797,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,HY-FY BROILER,,,,,Purchase,1755/Jan,5206,20-Jan-24,Chicken Leg Bonless,Meat Material,Meat,0,,Kg,7,250,1750,0,0,0,0,0,0,0,0,0,0,0,1750,10824,16704531,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,HY-FY BROILER,,,,,Purchase,1755/Jan,5206,20-Jan-24,Chicken Carcass (haddi),Meat Material,Meat,0,,Kg,10,20,200,0,0,0,0,0,0,0,0,,,,200,,16704535,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,HY-FY BROILER,,,,,Purchase,1755/Jan,5206,20-Jan-24,Chicken Broiler,Meat Material,Meat,0,,Kg,49.3,180,8874,0,0,0,0,0,0,0,0,,,,8874,,16704536,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Imtiyaz Ahmed Khan,,,,,Purchase,537/JAN,5205,20-Jan-24,Eggs,Food Ingredients,Egg,0,,PCS,100,6.4,640,0,0,0,0,0,0,0,0,0,0,0,640,640,16704699,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Kitchen Roll Dispencer,Non Food,,0,,NOS,2,450,900,9,81,9,81,0,0,0,0,0,0,0,1062,27402,16703982,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Check Duster,Non Food,,0,,PCS,24,10,240,2.5,6,2.5,6,0,0,0,0,,,,252,,16703995,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Steel Scrubber,Non Food,U.t Materials,0,,PCS,36,10,360,9,32.4,9,32.4,0,0,0,0,,,,424.8,,16704252,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Caustic Soda,Non Food,U.t Materials,0,,PKT,5,110,550,9,49.5,9,49.5,0,0,0,0,,,,649,,16704256,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Tea Light Candle,Beverages,Tea,0,,PKT,4,350,1400,6,84,6,84,0,0,0,0,,,,1568,,16704287,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Toilet Roll,Non Food,H.k Materials,0,,PKT,80,30,2400,9,216,9,216,0,0,0,0,,,,2832,,16704582,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Mop Refill,Non Food,H.k Materials,0,,NOS,6,80,480,9,43.2,9,43.2,0,0,0,0,,,,566.4,,16704603,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Garbage Bags Medium,Non Food,H.k Materials,0,,NOS,12,40,480,9,43.2,9,43.2,0,0,0,0,,,,566.4,,16704617,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Garbage Bags,Non Food,H.k Materials,0,,Kg,25,115,2875,9,258.75,9,258.75,0,0,0,0,,,,3392.5,,16704619,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Floor Duster,Non Food,H.k Materials,0,,NOS,24,10,240,2.5,6,2.5,6,0,0,0,0,,,,252,,16704620,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Skull Cap,Non Food,Disposable,0,,PKT,5,70,350,2.5,8.75,2.5,8.75,0,0,0,0,,,,367.5,,16704735,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Silver Container 450 Ml,Non Food,Disposable,0,,PKT,3,240,720,9,64.8,9,64.8,0,0,0,0,,,,849.6,,16704738,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Paper Straw,Non Food,Disposable,0,,PKT,20,40,800,9,72,9,72,0,0,0,0,,,,944,,16704748,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Paper Bag Small,Non Food,Disposable,0,,NOS,1100,6.5,7150,9,643.5,9,643.5,0,0,0,0,,,,8437,,16704749,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,Paper Bag Big,Non Food,Disposable,0,,NOS,300,8,2400,9,216,9,216,0,0,0,0,,,,2832,,16704750,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GLOBAL ENTERPRISES,,,,,Purchase,170/JAN,5204,20-Jan-24,M Fold Tissue,Non Food,Disposable,0,,PKT,60,34,2040,9,183.6,9,183.6,0,0,0,0,,,,2407.2,,16704751,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Tomatos,Vegetable,,0,,Kg,41,36,1476,0,0,0,0,0,0,0,0,0,0,0,1476,7948,16703838,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Staff Veg,Vegetable,,0,,Kg,15,38,570,0,0,0,0,0,0,0,0,,,,570,,16703851,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Spring Onion,Vegetable,,0,,Kg,3,48,144,0,0,0,0,0,0,0,0,,,,144,,16703854,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Spinach,Vegetable,,0,,Kg,12,36,432,0,0,0,0,0,0,0,0,,,,432,,16703855,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Potato,Vegetable,,0,,Kg,13,32,416,0,0,0,0,0,0,0,0,,,,416,,16703873,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Onion,Vegetable,,0,,Kg,27,44,1188,0,0,0,0,0,0,0,0,,,,1188,,16703882,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Mint Leaves,Vegetable,,0,,Kg,1,48,48,0,0,0,0,0,0,0,0,,,,48,,16703883,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Methi Fresh,Vegetable,,0,,Kg,2,46,92,0,0,0,0,0,0,0,0,,,,92,,16703885,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Lemon,Vegetable,,0,,Kg,7.5,70,525,0,0,0,0,0,0,0,0,,,,525,,16703894,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Lady Finger,Vegetable,,0,,Kg,1,44,44,0,0,0,0,0,0,0,0,,,,44,,16703896,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Karela,Vegetable,,0,,Kg,1,60,60,0,0,0,0,0,0,0,0,,,,60,,16703900,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Green Chilly,Vegetable,,0,,Kg,2.5,52,130,0,0,0,0,0,0,0,0,,,,130,,16703915,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Ginger,Vegetable,,0,,Kg,1.5,70,105,0,0,0,0,0,0,0,0,,,,105,,16703917,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Fresh Beans,Vegetable,,0,,Kg,7,68,476,0,0,0,0,0,0,0,0,,,,476,,16703923,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Cucumber,Vegetable,,0,,Kg,15,32,480,0,0,0,0,0,0,0,0,,,,480,,16703935,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Coriander Leaves,Vegetable,,0,,Kg,7.5,65,487.5,0,0,0,0,0,0,0,0,,,,487.5,,16703936,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Cauliflower,Vegetable,,0,,Kg,3,42,126,0,0,0,0,0,0,0,0,,,,126,,16703943,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Carrots,Vegetable,,0,,Kg,16.5,36,594,0,0,0,0,0,0,0,0,,,,594,,16703944,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Capsicum,Vegetable,,0,,Kg,3.5,48,168,0,0,0,0,0,0,0,0,,,,168,,16703945,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Cabbage,Vegetable,,0,,Kg,3,30,90,0,0,0,0,0,0,0,0,,,,90,,16703946,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Beetroots,Vegetable,,0,,Kg,0.5,32,16,0,0,0,0,0,0,0,0,,,,16,,16703954,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Banana Leaf,Vegetable,,0,,PCS,25,8,200,0,0,0,0,0,0,0,0,,,,200,,16703957,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,102/JAN,5203,20-Jan-24,Baby Potato,Vegetable,,0,,Kg,2,40,80,0,0,0,0,0,0,0,0,,,,80,,16703959,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Yellow Zucchini,Vegetable,,0,,Kg,0.5,110,55,0,0,0,0,0,0,0,0,0,0,0,55,2435,16703833,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Pok Choy,Vegetable,,0,,Kg,1,110,110,0,0,0,0,0,0,0,0,,,,110,,16703875,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Green Zucchini,Vegetable,,0,,Kg,0.5,110,55,0,0,0,0,0,0,0,0,,,,55,,16703911,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Fresh Red Chilly,Vegetable,,0,,Kg,0.5,120,60,0,0,0,0,0,0,0,0,,,,60,,16703920,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Fresh Mushroom,Vegetable,,0,,Kg,3,170,510,0,0,0,0,0,0,0,0,,,,510,,16703921,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Fresh Basil,Vegetable,,0,,Kg,0.25,160,40,0,0,0,0,0,0,0,0,,,,40,,16703924,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Chinese Cabbage,Vegetable,,0,,Kg,1,110,110,0,0,0,0,0,0,0,0,,,,110,,16703939,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Broccoli,Vegetable,,0,,Kg,2.5,180,450,0,0,0,0,0,0,0,0,,,,450,,16703948,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Bell Pepper Red,Vegetable,,0,,Kg,1,130,130,0,0,0,0,0,0,0,0,,,,130,,16703952,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Bell Papper Yellow,Vegetable,,0,,Kg,1,130,130,0,0,0,0,0,0,0,0,,,,130,,16703953,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Bean Sprouts,Vegetable,,0,,Kg,0.25,120,30,0,0,0,0,0,0,0,0,,,,30,,16703955,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Baby Corn,Vegetable,,0,,Kg,1,120,120,0,0,0,0,0,0,0,0,,,,120,,16703963,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Aragula,Vegetable,,0,,Kg,0.5,600,300,0,0,0,0,0,0,0,0,,,,300,,16703968,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,American Corn,Vegetable,,0,,Kg,0.5,70,35,0,0,0,0,0,0,0,0,,,,35,,16703970,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Sanoj Singh,,,,,Purchase,537/JAN,5202,20-Jan-24,Avocado Ind,Vegetable,,0,,Kg,0.5,600,300,0,0,0,0,0,0,0,0,,,,300,,16704081,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,RADHA MARKKETING,,,,,Purchase,10591,5201,20-Jan-24,Grey Goose Vodka,Bar,Gin & Vodka,0,,BTL,2,4709.69,9419.39,0,0,0,0,0,0,0,0,145.8,295,0,9229.12,14442,16704645,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,RADHA MARKKETING,,,,,Purchase,10591,5201,20-Jan-24,Bombay Sapphire,Bar,Gin & Vodka,0,,BTL,2,2585.72,5171.43,0,0,0,0,0,0,0,0,,,,5066.96,,16704648,,
